round,phase,gate,lr,acc,delta_acc,client,fedavg_weight,params_update_norm,params_update_relative,params_distance_to_fused,params_cos_to_fused,bn_mean_update_norm,bn_mean_update_relative,bn_mean_distance_to_fused,bn_mean_cos_to_fused,bn_var_update_norm,bn_var_update_relative,bn_var_distance_to_fused,bn_var_cos_to_fused,local_steps,a_ratio,a_prec
1,1,0.0,0.14999588770241343,0.1,nan,1,0.125,14.33662857837709,0.2558972812762775,12.742755952653539,0.4612192693906043,43.82207926963713,nan,30.45873107614263,0.7194009405690508,105.43573892027214,3.1955507100218923,82.71787557611005,0.8199510074796976,95,0.03248355263157895,0.6708860759493671
1,1,0.0,0.14999588770241343,0.1,nan,17,0.125,14.945639203878088,0.2667676307787483,12.717252099523824,0.526415621235981,43.65612174238083,nan,31.401899883950815,0.6965631370331175,142.0873516949139,4.306389296869742,79.26434891935948,0.8454302098755686,95,0.0900904605263158,0.2601551802829758
1,1,0.0,0.14999588770241343,0.1,nan,2,0.125,14.887837082446204,0.26573590943327596,13.125613582208178,0.4724493481116873,46.50300305054492,nan,36.15219327914464,0.6327574914716039,220.23750688355003,6.674967413348908,137.01562683129845,0.7966480331550357,95,0.038116776315789476,0.24919093851132687
1,1,0.0,0.14999588770241343,0.1,nan,5,0.125,14.406257093253227,0.2571400942262469,12.244778059691082,0.5270882287464429,43.01643669374749,nan,29.399769220622492,0.7305331893210556,109.21173611937215,3.3099937883764623,79.59406812445194,0.833778440919649,95,0.060485197368421055,0.38613188307273966
1,1,0.0,0.14999588770241343,0.1,nan,11,0.125,14.530094349410355,0.2593504895781302,12.487790153364822,0.511251908220364,51.13536028709396,nan,33.57687253301421,0.7647667821799747,190.81983037666717,5.783375264316324,101.27940545884205,0.8539346555022063,95,0.041036184210526315,0.6703406813627254
1,1,0.0,0.14999588770241343,0.1,nan,0,0.125,15.867446873039427,0.28322115575558854,13.739031541228178,0.5017032725926925,53.724489379097726,nan,40.68355667378755,0.6548293790654609,388.3052340987258,11.768770999629446,295.0131557305529,0.7581106535294901,95,0.046875,0.7526315789473684
1,1,0.0,0.14999588770241343,0.1,nan,18,0.125,13.890533009466544,0.2479348344116238,12.056731088485304,0.49764802947741676,43.37025825392475,nan,29.89980046851614,0.7248962248873879,130.99463123410138,3.970190669083501,87.58641009359971,0.7991166514018458,95,0.04847861842105263,0.4775233248515691
1,1,0.0,0.14999588770241343,0.1,nan,6,0.125,14.638479707369703,0.2612850809836567,12.580152999845499,0.5113921405715959,45.98457072382945,nan,32.47992324355186,0.7078926682811358,132.06669339523162,4.002682773139203,81.89434405834882,0.8256330563189211,95,0.07360197368421052,0.5078212290502794
2,1,0.0,0.14998355126061338,0.2229,0.12289999999999998,18,0.125,11.190450500596977,0.20092343613993227,10.043849719575519,0.4544956293773616,20.87931281304088,0.6398244562342741,19.30448972199325,0.44108161316359684,91.666972521543,0.536462558916625,48.10449706776501,0.8519000877747368,95,0.08651315789473685,0.5465779467680608
2,1,0.0,0.14998355126061338,0.2229,0.12289999999999998,7,0.125,12.092698314454584,0.21712320673901062,10.265343558408073,0.5286079086096254,28.862206745430655,0.8844517969519733,24.486134150024164,0.5319429884749465,106.05668807026068,0.6206754811175107,77.26977498994468,0.6853251948728436,95,0.03149671052631579,0.5809399477806788
2,1,0.0,0.14998355126061338,0.2229,0.12289999999999998,15,0.125,12.276545637812495,0.22042416731537257,10.348227736498007,0.538556182542241,32.37057027387134,0.9919618863383775,27.812780278458753,0.5198453459895263,159.90839476202805,0.9358317863735138,142.09892320156658,0.4587484102123804,95,0.023355263157894737,0.24471830985915494
2,1,0.0,0.14998355126061338,0.2229,0.12289999999999998,14,0.125,12.205758654964123,0.21915319401299171,10.803585289169742,0.4680055425519294,27.15318988997972,0.8320807831151991,24.198885042232458,0.45673670459888,93.39705013094371,0.5465874908952102,55.61217391123781,0.8034011099457867,95,0.14921875,0.42325709561862773
2,1,0.0,0.14998355126061338,0.2229,0.12289999999999998,17,0.125,11.359438702701663,0.20395760265826604,10.090188506322164,0.4677794163312941,22.928006238934486,0.7026044992821661,21.520417991317146,0.40054006878384407,90.36758795130422,0.528858171508682,47.12196090606707,0.8536050766417382,95,0.14720394736842105,0.28324022346368716
2,1,0.0,0.14998355126061338,0.2229,0.12289999999999998,3,0.125,12.675570703824299,0.2275886230595607,10.544217118591115,0.5581946186399791,28.527419527734665,0.8741925967841051,24.151667787363674,0.5344579838952206,86.44626094320421,0.5059093922128476,45.32165373631825,0.8517014056128952,95,0.14469572368421052,0.40011366865586817
2,1,0.0,0.14998355126061338,0.2229,0.12289999999999998,1,0.125,13.48324629879639,0.24209035878677737,11.268995116471315,0.5559668825364262,30.18903521924147,0.9251110520900028,25.07916196660091,0.5671095444788086,92.79577019097805,0.5430686207247852,46.839601795169955,0.8651178307068095,95,0.06422697368421053,0.6350832266325224
2,1,0.0,0.14998355126061338,0.2229,0.12289999999999998,10,0.125,12.441493868962892,0.2233857965532816,10.390857855294492,0.5517237403991919,30.28149512263723,0.9279443880308637,26.089907126490516,0.5103842312846996,91.16631359016563,0.5335325530041023,58.68291271303503,0.7673023665039188,95,0.0884046052631579,0.7679069767441861
3,1,0.0,0.14996299202742988,0.3347,0.11180000000000001,8,0.125,10.96657965924843,0.1967131357356254,10.111962725816968,0.41182992309309585,24.438736587790647,0.6773907135498451,24.17731717981735,0.3485070202904632,55.377383333834295,0.44139815377860303,46.75304566689776,0.5727598171674885,95,0.24054276315789475,0.33076923076923076
3,1,0.0,0.14996299202742988,0.3347,0.11180000000000001,2,0.125,12.742954361910073,0.22857687528429332,10.526134109822086,0.5717677963079603,30.42174202450869,0.8432271227845104,21.68572083296292,0.7274647472676528,67.8321225601776,0.5406715135753458,44.46293501643189,0.7670977223866946,95,0.1079358552631579,0.32571428571428573
