[train] dataset=CIFAR10 alpha=0.1 gpu=0 config=configs/default_ppfpsl.yaml python=/home/disk1/xiaoyanwang/anaconda3/envs/py39/bin/python
[Run] id=geom_noboost_s7
  目录=./results/CIFAR10/runs/geom_noboost_s7_a0.1
  acc.csv / metrics.csv / diag.csv / config.json / train.log / checkpoint.pt
Files already downloaded and verified
[HParams] METHOD_REV=11 adaptive=1 capA=0.0/0.0 capB=0.0 warmup=[0.3,0.4] aux_ratio=0.3 geom=[0.12,0.35] gate_anneal=0.15 p2_exit_A=0.08 tau_w=0.95 tau0=0.92 d0=0.1 etaB=0.6 pp_b=0.06 p3_boost=0.0 pp_a=0.08 geom_controls={'tau_ceiling': 0.99, 'complete_gate': 1, 'unknown_b_conf': 1, 'phase3_geom_boost': 0.0} raw_tau_max=1.0000 teacher=0 mu_p=0.97 lA=1.0 lB=1.0 lP=0.1 seed_model=7 seed_partition=0 seed_sample=7 workers=16 protoWrite=floor0.0/extra0.0 diag=1
dataset:CIFAR10
num_classes:10
num_labeled:500
non_iid:0.1
mu:2
num_rounds:300
batch_label:128, batch_unlabel:128
client 0 labeled number per class : [57, 38, 3, 0, 9, 0, 28, 7, 57, 51]
client 0 unlabeled number per class  : [446, 460, 0, 3, 13, 0, 441, 0, 435, 452]
client 1 labeled number per class : [0, 11, 47, 37, 33, 49, 18, 55, 0, 0]
client 1 unlabeled number per class  : [0, 7, 466, 418, 423, 470, 1, 465, 0, 0]
client 2 labeled number per class : [17, 0, 51, 0, 39, 59, 0, 0, 47, 37]
client 2 unlabeled number per class  : [448, 289, 48, 441, 437, 64, 472, 0, 51, 0]
client 3 labeled number per class : [25, 57, 1, 55, 1, 9, 43, 45, 1, 13]
client 3 unlabeled number per class  : [1, 160, 430, 1, 2, 365, 1, 459, 364, 467]
client 4 labeled number per class : [28, 0, 44, 3, 0, 0, 55, 29, 65, 26]
client 4 unlabeled number per class  : [467, 0, 426, 0, 444, 475, 3, 216, 219, 0]
client 5 labeled number per class : [6, 45, 2, 56, 56, 41, 1, 16, 1, 26]
client 5 unlabeled number per class  : [1, 411, 1, 461, 0, 1, 465, 231, 229, 450]
client 6 labeled number per class : [42, 46, 8, 28, 21, 62, 1, 42, 0, 0]
client 6 unlabeled number per class  : [414, 0, 83, 463, 444, 401, 445, 0, 0, 0]
client 7 labeled number per class : [26, 1, 37, 20, 30, 1, 54, 1, 36, 44]
client 7 unlabeled number per class  : [1, 475, 329, 2, 1, 35, 13, 488, 457, 449]
client 8 labeled number per class : [52, 58, 22, 54, 38, 0, 26, 0, 0, 0]
client 8 unlabeled number per class  : [221, 0, 0, 473, 0, 449, 0, 224, 448, 435]
client 9 labeled number per class : [1, 1, 31, 1, 13, 34, 16, 50, 48, 55]
client 9 unlabeled number per class  : [213, 439, 439, 1, 463, 1, 457, 237, 0, 0]
client 10 labeled number per class : [2, 43, 56, 30, 45, 45, 29, 0, 0, 0]
client 10 unlabeled number per class  : [242, 446, 480, 144, 407, 445, 86, 0, 0, 0]
client 11 labeled number per class : [52, 11, 1, 18, 1, 1, 21, 53, 44, 48]
client 11 unlabeled number per class  : [240, 1, 1, 292, 48, 1, 338, 430, 452, 447]
client 12 labeled number per class : [34, 9, 0, 55, 2, 12, 34, 2, 51, 51]
client 12 unlabeled number per class  : [458, 444, 145, 19, 463, 451, 202, 0, 68, 0]
client 13 labeled number per class : [12, 31, 51, 1, 50, 38, 17, 50, 0, 0]
client 13 unlabeled number per class  : [1, 1, 308, 405, 1, 1, 231, 471, 389, 442]
client 14 labeled number per class : [45, 25, 0, 17, 0, 0, 0, 56, 60, 47]
client 14 unlabeled number per class  : [462, 453, 389, 0, 4, 0, 462, 10, 470, 0]
client 15 labeled number per class : [0, 18, 54, 25, 61, 48, 44, 0, 0, 0]
client 15 unlabeled number per class  : [0, 0, 51, 450, 452, 434, 1, 408, 1, 453]
client 16 labeled number per class : [49, 41, 0, 51, 0, 43, 62, 4, 0, 0]
client 16 unlabeled number per class  : [311, 0, 475, 494, 0, 0, 0, 36, 477, 457]
client 17 labeled number per class : [1, 2, 47, 1, 52, 1, 1, 42, 44, 59]
client 17 unlabeled number per class  : [111, 447, 1, 1, 442, 431, 446, 371, 0, 0]
client 18 labeled number per class : [9, 62, 0, 47, 48, 0, 0, 40, 1, 43]
client 18 unlabeled number per class  : [463, 352, 0, 298, 196, 0, 53, 0, 440, 448]
client 19 labeled number per class : [42, 1, 45, 1, 1, 57, 50, 8, 45, 0]
client 19 unlabeled number per class  : [0, 115, 428, 134, 260, 476, 383, 454, 0, 0]
[Schedule] adaptive=1 warmup=[0.30,0.40] geom=[0.12,0.35] capA=0.00/0.00 protoWrite=floor0.00/extra0.00 geom_rel=Phase2 gate 0→1 over 45 rounds target A-prec=0.9 A-ratio=0.22
Server:   0%|          | 0/300 [00:00<?, ?it/s]Server:   0%|          | 1/300 [01:57<9:46:26, 117.68s/it]Round 1/300 | Acc:0.1007 Best:0.1007@1 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:1.1249 (sup:1.083 A:0.042 B:0.000 proto:2.070) | Route: A:6.79% B:0.00% C:93.21% capA:0.00 | MA:6.79% geomDrop:0.00% | A-Prec:49.19% B-Prec:0.00% | proto Ashare:11.74% Auniq:6261.7 dirty:50.81% lab×48.6 | rel r:0.600 m:0.000 alpha:1.000
Server:   1%|          | 2/300 [03:59<9:56:01, 120.01s/it]Round 2/300 | Acc:0.2440 Best:0.2440@2 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.9538 (sup:0.885 A:0.069 B:0.000 proto:2.163) | Route: A:10.67% B:0.00% C:89.33% capA:0.00 | MA:10.67% geomDrop:0.00% | A-Prec:47.09% B-Prec:0.00% | proto Ashare:17.32% Auniq:7683.4 dirty:52.87% lab×48.6 | rel r:0.640 m:0.000 alpha:1.000
Server:   1%|          | 3/300 [05:59<9:54:46, 120.16s/it]Round 3/300 | Acc:0.3258 Best:0.3258@3 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.8012 (sup:0.699 A:0.102 B:0.000 proto:2.226) | Route: A:16.54% B:0.00% C:83.46% capA:0.00 | MA:16.54% geomDrop:0.00% | A-Prec:46.99% B-Prec:0.00% | proto Ashare:24.54% Auniq:10614.0 dirty:52.97% lab×48.6 | rel r:0.692 m:0.000 alpha:1.000
Server:   1%|▏         | 4/300 [08:01<9:55:12, 120.65s/it]Round 4/300 | Acc:0.3240 Best:0.3258@3 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.7285 (sup:0.609 A:0.119 B:0.000 proto:2.015) | Route: A:20.28% B:0.00% C:79.72% capA:0.00 | MA:20.28% geomDrop:0.00% | A-Prec:51.74% B-Prec:0.00% | proto Ashare:28.51% Auniq:11901.9 dirty:48.21% lab×48.6 | rel r:0.720 m:0.000 alpha:1.000
Server:   2%|▏         | 5/300 [10:00<9:51:35, 120.32s/it]Round 5/300 | Acc:0.3015 Best:0.3258@3 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.7684 (sup:0.649 A:0.119 B:0.000 proto:2.168) | Route: A:19.86% B:0.00% C:80.14% capA:0.00 | MA:19.86% geomDrop:0.00% | A-Prec:55.16% B-Prec:0.00% | proto Ashare:28.12% Auniq:11601.8 dirty:44.77% lab×48.6 | rel r:0.703 m:0.000 alpha:1.000
Server:   2%|▏         | 6/300 [12:03<9:54:03, 121.24s/it]Round 6/300 | Acc:0.4436 Best:0.4436@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.5629 (sup:0.411 A:0.152 B:0.000 proto:2.145) | Route: A:25.07% B:0.00% C:74.93% capA:0.00 | MA:25.07% geomDrop:0.00% | A-Prec:56.35% B-Prec:0.00% | proto Ashare:33.05% Auniq:13391.5 dirty:43.58% lab×48.6 | rel r:0.746 m:0.000 alpha:1.000
Server:   2%|▏         | 7/300 [14:07<9:56:16, 122.10s/it]Round 7/300 | Acc:0.3626 Best:0.4436@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.5706 (sup:0.405 A:0.166 B:0.000 proto:2.151) | Route: A:27.03% B:0.00% C:72.97% capA:0.00 | MA:27.03% geomDrop:0.00% | A-Prec:50.63% B-Prec:0.00% | proto Ashare:34.75% Auniq:13725.8 dirty:49.30% lab×48.6 | rel r:0.759 m:0.000 alpha:1.000
Server:   3%|▎         | 8/300 [16:09<9:53:37, 121.98s/it]Round 8/300 | Acc:0.4980 Best:0.4980@8 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.5304 (sup:0.343 A:0.188 B:0.000 proto:2.086) | Route: A:32.23% B:0.00% C:67.77% capA:0.00 | MA:32.23% geomDrop:0.00% | A-Prec:65.01% B-Prec:0.00% | proto Ashare:38.86% Auniq:14994.1 dirty:34.88% lab×48.6 | rel r:0.786 m:0.000 alpha:1.000
Server:   3%|▎         | 9/300 [18:13<9:54:24, 122.56s/it]Round 9/300 | Acc:0.3973 Best:0.4980@8 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.4798 (sup:0.292 A:0.188 B:0.000 proto:2.083) | Route: A:34.51% B:0.00% C:65.49% capA:0.00 | MA:34.51% geomDrop:0.00% | A-Prec:53.66% B-Prec:0.00% | proto Ashare:40.52% Auniq:15150.1 dirty:46.28% lab×48.6 | rel r:0.793 m:0.000 alpha:1.000
Server:   3%|▎         | 10/300 [20:15<9:51:16, 122.33s/it]Round 10/300 | Acc:0.4952 Best:0.4980@8 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.4418 (sup:0.239 A:0.203 B:0.000 proto:2.013) | Route: A:38.39% B:0.00% C:61.61% capA:0.00 | MA:38.39% geomDrop:0.00% | A-Prec:55.04% B-Prec:0.00% | proto Ashare:43.13% Auniq:15932.5 dirty:44.87% lab×48.6 | rel r:0.811 m:0.000 alpha:1.000
Server:   4%|▎         | 11/300 [22:19<9:52:22, 122.98s/it]Round 11/300 | Acc:0.5250 Best:0.5250@11 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.4382 (sup:0.241 A:0.197 B:0.000 proto:2.033) | Route: A:35.81% B:0.00% C:64.19% capA:0.00 | MA:35.81% geomDrop:0.00% | A-Prec:46.95% B-Prec:0.00% | proto Ashare:41.42% Auniq:15623.6 dirty:52.97% lab×48.6 | rel r:0.802 m:0.000 alpha:1.000
Server:   4%|▍         | 12/300 [24:25<9:53:58, 123.75s/it]Round 12/300 | Acc:0.4734 Best:0.5250@11 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.4149 (sup:0.200 A:0.215 B:0.000 proto:2.064) | Route: A:40.25% B:0.00% C:59.75% capA:0.00 | MA:40.25% geomDrop:0.00% | A-Prec:66.11% B-Prec:0.00% | proto Ashare:44.30% Auniq:16152.5 dirty:33.77% lab×48.6 | rel r:0.818 m:0.000 alpha:1.000
