round,client,epoch,cls,support_n,query_n,votes,trust,radius,margin_floor,distance_scale,margin_scale
91,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
91,1,1,1,6.0,5.0,6.0,0.43649059534072876,0.07296732813119888,0.5690702199935913,0.05000000074505806,0.05000000074505806
91,1,1,2,24.0,23.0,21.0,0.7733018398284912,0.26457300782203674,-0.004813432227820158,0.05421566590666771,0.10682429373264313
91,1,1,3,19.0,18.0,18.0,0.6077749729156494,0.29867932200431824,-0.03261277452111244,0.08687763661146164,0.1015109196305275
91,1,1,4,17.0,16.0,17.0,0.5897006988525391,0.2703484892845154,0.02448904514312744,0.08558914065361023,0.10936988145112991
91,1,1,5,25.0,24.0,23.0,0.7900841236114502,0.16506001353263855,0.02884133905172348,0.05800791457295418,0.07933379709720612
91,1,1,6,9.0,9.0,11.0,0.5230138897895813,0.15500080585479736,0.17494231462478638,0.05000000074505806,0.05654015392065048
91,1,1,7,28.0,27.0,26.0,0.8712669610977173,0.17697033286094666,0.05717218294739723,0.0568176805973053,0.08114559203386307
91,1,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
91,1,1,9,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
91,1,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
91,1,2,1,6.0,5.0,5.0,0.5655084848403931,0.10627506673336029,0.4088438153266907,0.05000000074505806,0.0517616830766201
91,1,2,2,24.0,23.0,21.0,0.8453561663627625,0.24267743527889252,0.023454764857888222,0.05257619544863701,0.15026618540287018
91,1,2,3,19.0,18.0,19.0,0.7536078691482544,0.24098969995975494,0.07823409885168076,0.057748667895793915,0.08373165875673294
91,1,2,4,17.0,16.0,16.0,0.8063865900039673,0.21575438976287842,0.1667543351650238,0.05287468060851097,0.08895348757505417
91,1,2,5,25.0,24.0,22.0,0.8513404726982117,0.1682211011648178,0.15745393931865692,0.05301574617624283,0.10551726073026657
91,1,2,6,9.0,9.0,12.0,0.4676896631717682,0.07095319032669067,0.25708359479904175,0.05000000074505806,0.05452355742454529
91,1,2,7,28.0,27.0,27.0,0.8754409551620483,0.16154102981090546,0.1468154340982437,0.05000000074505806,0.08791842311620712
91,1,2,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
91,1,2,9,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
91,1,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
91,1,3,1,6.0,5.0,5.0,0.5655084848403931,0.07050536572933197,0.462405800819397,0.05000000074505806,0.05000000074505806
91,1,3,2,24.0,23.0,23.0,0.8568788766860962,0.15799480676651,0.17070795595645905,0.05000000074505806,0.0869443342089653
91,1,3,3,19.0,18.0,18.0,0.8241154551506042,0.20309355854988098,0.1841844916343689,0.051838792860507965,0.0667848065495491
91,1,3,4,17.0,16.0,16.0,0.8063865900039673,0.2187795639038086,0.18243801593780518,0.055218134075403214,0.06413792818784714
91,1,3,5,25.0,24.0,24.0,0.862019419670105,0.14830709993839264,0.19256338477134705,0.05000000074505806,0.06099599599838257
91,1,3,6,9.0,9.0,9.0,0.7008472681045532,0.10601607710123062,0.3261083662509918,0.05000000074505806,0.06817955523729324
91,1,3,7,28.0,27.0,27.0,0.8754409551620483,0.14573004841804504,0.17704373598098755,0.05000000074505806,0.06015723571181297
91,1,3,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
