round,client,epoch,cls,support_n,query_n,votes,trust,radius,margin_floor,distance_scale,margin_scale
31,17,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,2,24.0,23.0,22.0,0.7218462228775024,0.2906171381473541,-0.0029724708292633295,0.06483881920576096,0.06874646991491318
31,17,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,4,26.0,26.0,26.0,0.6646841764450073,0.23959380388259888,-0.012857764959335327,0.05000000074505806,0.06293872743844986
31,17,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,7,21.0,21.0,22.0,0.5655964612960815,0.2085024118423462,-0.007717132568359375,0.09335984289646149,0.07923571020364761
31,17,1,8,22.0,22.0,22.0,0.8513404726982117,0.19433782994747162,0.07562614977359772,0.05073095113039017,0.10378362238407135
31,17,1,9,30.0,29.0,29.0,0.8830264210700989,0.13915587961673737,0.14076487720012665,0.05000000074505806,0.07414630800485611
31,17,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,2,24.0,23.0,24.0,0.7975777983665466,0.31119847297668457,0.06062401458621025,0.06563450396060944,0.07122503221035004
31,17,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,4,26.0,26.0,23.0,0.8568788766860962,0.27662965655326843,0.002073824405670166,0.056903909891843796,0.07747306674718857
31,17,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,7,21.0,21.0,20.0,0.8388698697090149,0.165471613407135,0.07219374179840088,0.08571156114339828,0.08041749894618988
31,17,2,8,22.0,22.0,25.0,0.7004380822181702,0.17402717471122742,0.1594778448343277,0.05000000074505806,0.07423721253871918
31,17,2,9,30.0,29.0,29.0,0.8830264210700989,0.12042379379272461,0.17078496515750885,0.05000000074505806,0.0884643942117691
31,17,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,2,24.0,23.0,23.0,0.8568788766860962,0.27700275182724,0.06197480112314224,0.05526762455701828,0.07060840725898743
31,17,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,4,26.0,26.0,25.0,0.8668035268783569,0.2423573136329651,0.03738471865653992,0.0579700693488121,0.0827254056930542
31,17,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,7,21.0,21.0,21.0,0.8453561663627625,0.16352349519729614,0.09630423784255981,0.07909998297691345,0.07616809755563736
31,17,3,8,22.0,22.0,23.0,0.7900841236114502,0.166167750954628,0.19769902527332306,0.05000000074505806,0.05136866867542267
31,17,3,9,30.0,29.0,29.0,0.8830264210700989,0.13924118876457214,0.1834995448589325,0.05000000074505806,0.09356418251991272
31,17,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,2,24.0,23.0,23.0,0.8568788766860962,0.26090022921562195,0.08867894113063812,0.05898571386933327,0.07506892085075378
31,17,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,4,26.0,26.0,25.0,0.8668035268783569,0.2544512152671814,0.030391693115234375,0.055684685707092285,0.07212680578231812
31,17,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,4,7,21.0,21.0,22.0,0.7820151448249817,0.19981342554092407,0.09183120727539062,0.09934145212173462,0.09136591106653214
31,17,4,8,22.0,22.0,22.0,0.8513404726982117,0.19624213874340057,0.13712182641029358,0.05000000074505806,0.06045492738485336
31,17,4,9,30.0,29.0,29.0,0.8830264210700989,0.13319899141788483,0.16430099308490753,0.05000000074505806,0.0828084945678711
31,17,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,2,24.0,23.0,23.0,0.8568788766860962,0.2548389434814453,0.0772690623998642,0.06182728707790375,0.08534751832485199
31,17,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,4,26.0,26.0,26.0,0.8712669610977173,0.2647240459918976,0.045725077390670776,0.05884338170289993,0.07020067423582077
31,17,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,5,7,21.0,21.0,21.0,0.8453561663627625,0.1790311336517334,0.15126585960388184,0.08639726042747498,0.05123605579137802
31,17,5,8,22.0,22.0,22.0,0.8513404726982117,0.16427326202392578,0.20214927196502686,0.05000000074505806,0.05000000074505806
31,17,5,9,30.0,29.0,29.0,0.8830264210700989,0.12655165791511536,0.17089329659938812,0.05000000074505806,0.07675407081842422
31,5,1,0,3.0,3.0,3.0,0.046117737889289856,0.46608880162239075,-0.08747854083776474,0.07058096677064896,0.07290366291999817
31,5,1,1,23.0,22.0,20.0,0.6989618539810181,0.20678383111953735,-0.006263028830289841,0.05000000074505806,0.06039721146225929
31,5,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,1,3,28.0,28.0,28.0,0.6440821290016174,0.27598434686660767,-0.011091821826994419,0.0643976479768753,0.05854865536093712
31,5,1,4,28.0,28.0,25.0,0.7503347992897034,0.3153938353061676,-0.016886800527572632,0.081358402967453,0.07121362537145615
31,5,1,5,21.0,20.0,20.0,0.5312950015068054,0.2816373407840729,-0.02601168118417263,0.06229737401008606,0.051168493926525116
31,5,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,1,7,8.0,8.0,11.0,0.4343497157096863,0.20900721848011017,0.06178794428706169,0.06029900163412094,0.05000000074505806
31,5,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,1,9,13.0,13.0,15.0,0.5481407046318054,0.13891062140464783,0.033949412405490875,0.05000000074505806,0.05000000074505806
31,5,2,0,3.0,3.0,4.0,0.22547703981399536,0.3496212363243103,0.09500409662723541,0.05000000074505806,0.05000000074505806
31,5,2,1,23.0,22.0,24.0,0.741507887840271,0.21433281898498535,0.16594058275222778,0.05659094452857971,0.06467381864786148
31,5,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,2,3,28.0,28.0,27.0,0.817161500453949,0.27825236320495605,0.06676974147558212,0.0674181804060936,0.08070909976959229
31,5,2,4,28.0,28.0,27.0,0.8754409551620483,0.2857131361961365,0.033218931406736374,0.0645136684179306,0.08712167292833328
31,5,2,5,21.0,20.0,18.0,0.8241154551506042,0.23896586894989014,0.019830703735351562,0.0638737604022026,0.06374813616275787
31,5,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,2,7,8.0,8.0,8.0,0.6755843758583069,0.15789449214935303,0.059798747301101685,0.05000000074505806,0.06852880865335464
31,5,2,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,5,2,9,13.0,13.0,14.0,0.6853073239326477,0.20284448564052582,0.08868317306041718,0.06003684177994728,0.08499552309513092
31,5,3,0,3.0,3.0,3.0,0.3288704454898834,0.5078535079956055,0.16518184542655945,0.1707106977701187,0.05000000074505806
