round,client,epoch,cls,support_n,query_n,votes,trust,radius,margin_floor,distance_scale,margin_scale
31,17,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,2,24.0,23.0,22.0,0.7218462228775024,0.2906171381473541,-0.0029724708292633295,0.06483881920576096,0.06874646991491318
31,17,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,4,26.0,26.0,26.0,0.6646841764450073,0.23959380388259888,-0.012857764959335327,0.05000000074505806,0.06293872743844986
31,17,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,1,7,21.0,21.0,22.0,0.5655964612960815,0.2085024118423462,-0.007717132568359375,0.09335984289646149,0.07923571020364761
31,17,1,8,22.0,22.0,22.0,0.8513404726982117,0.19433782994747162,0.07562614977359772,0.05073095113039017,0.10378362238407135
31,17,1,9,30.0,29.0,29.0,0.8830264210700989,0.13915587961673737,0.14076487720012665,0.05000000074505806,0.07414630800485611
31,17,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,2,24.0,23.0,24.0,0.7975777983665466,0.3115236163139343,0.06078360229730606,0.06560410559177399,0.071327343583107
31,17,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,4,26.0,26.0,23.0,0.8568788766860962,0.27624642848968506,0.0020492076873779297,0.05694446340203285,0.07774094492197037
31,17,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,2,7,21.0,21.0,20.0,0.8388698697090149,0.16524308919906616,0.07197701930999756,0.08561976253986359,0.08053790032863617
31,17,2,8,22.0,22.0,25.0,0.7004380822181702,0.1739324927330017,0.15950116515159607,0.05000000074505806,0.07421350479125977
31,17,2,9,30.0,29.0,29.0,0.8830264210700989,0.1198616474866867,0.17018091678619385,0.05000000074505806,0.08822263777256012
31,17,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,2,24.0,23.0,23.0,0.8568788766860962,0.24813802540302277,0.07219431549310684,0.05182558298110962,0.06925170123577118
31,17,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,4,26.0,26.0,25.0,0.8668035268783569,0.2465478777885437,0.06487303972244263,0.05758659169077873,0.0738425999879837
31,17,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
31,17,3,7,21.0,21.0,22.0,0.7820151448249817,0.1572389006614685,0.10246098041534424,0.07941142469644547,0.07654576748609543
31,17,3,8,22.0,22.0,22.0,0.8513404726982117,0.16574952006340027,0.18438425660133362,0.05000000074505806,0.05579476058483124
31,17,3,9,30.0,29.0,29.0,0.8830264210700989,0.1326918601989746,0.18246188759803772,0.05000000074505806,0.09351084381341934
31,17,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
